City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
316,bozhou,33.8772,115.7703,26.22,41,0,2.77,CN,1686765225
317,saipan,15.1355,145.701,28.39,100,75,6.17,MP,1686764659
318,kingston,17.997,-76.7936,33.47,65,20,10.29,JM,1686764496
319,chibougamau,49.9168,-74.3659,20.79,49,75,2.57,CA,1686764490
320,dalbandin,28.8947,64.4101,33.96,16,0,6.0,PK,1686765225
321,nouadhibou,20.931,-17.0347,24.99,61,21,10.8,MR,1686764744
322,island harbour,50.724,-1.2758,26.04,69,14,1.32,GB,1686764711
323,wailua homesteads,22.0669,-159.378,25.48,91,100,7.2,US,1686764709
324,jolo,6.05,121.0167,25.25,89,100,1.1,PH,1686765226
325,gorontalo,0.5412,123.0595,24.1,95,99,0.71,ID,1686765226
326,bremen,53.0752,8.8078,23.89,33,0,3.6,DE,1686765035
327,ebon,4.582,168.6964,28.5,80,81,6.96,MH,1686765227
328,ad dawadimi,24.5077,44.3924,32.64,12,2,1.27,SA,1686765227
329,punta arenas,-53.15,-70.9167,6.06,75,20,8.23,CL,1686765227
330,saint-francois,46.4154,3.9054,27.69,24,0,3.6,FR,1686764564
331,merizo village,13.2658,144.6691,28.31,90,58,6.69,GU,1686765228
332,sur,22.5667,59.5289,31.64,61,100,5.57,OM,1686765228
333,mogocha,53.7333,119.7667,8.26,63,100,1.08,RU,1686764870
334,quang ngai,15.1167,108.8,25.73,86,100,2.33,VN,1686765229
335,yorkton,51.2167,-102.4677,18.91,63,0,6.69,CA,1686765229
336,peniche,39.3558,-9.3811,23.38,76,5,6.5,PT,1686765229
337,tolanaro,-25.0319,46.9987,23.04,78,0,6.17,MG,1686764791
338,kailua-kona,19.6406,-155.9956,26.24,81,75,1.54,US,1686764860
339,murzuq,25.9155,13.9184,36.63,10,10,4.49,LY,1686765230
340,pons,45.5799,-0.5478,26.97,47,0,6.17,FR,1686765231
341,novaya igirma,57.1334,103.9112,7.97,94,100,4.75,RU,1686765231
342,banfora,10.6333,-4.7667,28.09,68,67,1.45,BF,1686765231
343,usogorsk,63.4106,48.6872,11.69,56,31,2.15,RU,1686765232
344,santander jimenez,24.2167,-98.4667,41.96,16,9,5.66,MX,1686765232
345,mugia,43.1041,-9.2179,24.39,86,13,3.76,ES,1686764881
346,nuuk,64.1835,-51.7216,5.34,60,20,2.57,GL,1686764713
347,hithadhoo,-0.6,73.0833,27.92,78,92,3.22,MV,1686764718
348,rikaze,29.25,88.8833,9.51,75,100,2.18,CN,1686765233
349,delyatyn,48.5235,24.6247,14.79,95,32,1.41,UA,1686765233
350,qiancheng,27.185,109.7654,22.48,82,95,0.92,CN,1686765233
351,aldinga beach,-35.2793,138.4604,12.37,87,96,8.79,AU,1686765233
352,conceicao do araguaia,-8.2578,-49.2647,30.39,54,34,1.09,BR,1686765233
353,colonia,50.9333,6.95,25.51,32,0,3.6,DE,1686765233
354,newnham,-41.3833,147.1333,8.15,91,75,3.6,AU,1686765233
355,kudahuvadhoo,2.6708,72.8944,28.71,76,100,6.05,MV,1686765233
356,ulanhot,46.0833,122.0833,16.14,86,89,5.12,CN,1686765234
357,lodja,-3.4833,23.4333,22.84,84,90,0.27,CD,1686765234
358,solnechnyy,50.7214,136.6319,10.35,95,73,2.01,RU,1686765234
359,caluula,11.9661,50.7569,31.59,63,100,3.27,SO,1686765235
360,orlu,5.7946,7.035,23.62,92,63,2.41,NG,1686765235
361,carnarvon,-24.8667,113.6333,18.46,71,88,9.67,AU,1686764669
362,luorong,24.4058,109.6086,25.06,80,74,1.33,CN,1686765236
363,labytnangi,66.6572,66.4183,4.1,72,99,5.99,RU,1686764485
